,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Genre
21,0.614,0.748,8,29.573,1,0.0539,0.0926,0.0,0.152,0.573,123.947,174194,House
22,0.812,0.634,8,29.04,1,0.163,0.0564,0.0,0.276,0.463,124.074,174194,House
23,0.621,0.785,6,29.501,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,155253,House
24,0.737,0.869,4,29.592,0,0.0381,0.125,0.00311,0.133,0.28,129.0,184419,House
25,0.72,0.858,0,28.343,1,0.0314,0.000307,0.692,0.0932,0.565,124.001,184839,House
26,0.734,0.855,6,29.422,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563,House
27,0.666,0.66,8,28.255,0,0.0408,0.318,0.0002,0.549,0.609,121.981,149760,House
28,0.539,0.715,11,27.361,0,0.0595,0.0265,0.0,0.609,0.489,123.854,165524,House
29,0.761,0.821,8,28.762,1,0.202,0.185,0.0,0.0692,0.388,108.13,125879,House
30,0.658,0.762,7,27.486,1,0.181,0.0442,0.0,0.223,0.478,121.995,147216,House
31,0.705,0.864,0,28.87,0,0.0344,0.276,0.00037,0.0872,0.626,120.012,176734,House
32,0.595,0.784,1,29.122,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726,House
33,0.628,0.783,4,27.982,0,0.184,0.135,1.22e-05,0.687,0.236,127.949,142559,House
34,0.691,0.695,0,28.4,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,233386,House
35,0.669,0.784,7,28.397,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,House
36,0.784,0.903,4,29.779,1,0.058,0.0569,0.000159,0.386,0.887,123.96,156290,House
37,0.859,0.558,7,25.009,0,0.0902,0.659,0.324,0.124,0.357,114.978,144391,House
38,0.667,0.842,9,29.493,0,0.0457,0.0585,2.81e-06,0.227,0.661,121.992,182451,House
39,0.707,0.712,0,28.011,1,0.0361,0.0417,0.0,0.575,0.407,127.903,194531,House
40,0.638,0.872,2,27.779,1,0.0415,0.0241,0.0159,0.118,0.253,121.041,199091,House
41,0.741,0.931,10,30.553,0,0.0563,0.0225,0.000102,0.191,0.517,125.011,144000,House
42,0.555,0.801,10,28.072,0,0.0777,0.0907,0.0,0.105,0.382,127.956,151875,House
43,0.787,0.828,11,30.421,0,0.0297,0.106,0.000605,0.105,0.544,119.953,182700,House
44,0.758,0.913,6,31.074,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,House
45,0.642,0.869,6,28.729,0,0.0452,0.252,0.0288,0.0708,0.376,123.91,149032,House
46,0.689,0.842,1,27.41,0,0.0694,0.0195,3.54e-06,0.62,0.385,125.978,152624,House
47,0.689,0.612,6,27.986,1,0.0387,0.228,7.77e-06,0.368,0.461,122.076,193018,House
48,0.848,0.821,2,28.592,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,House
49,0.737,0.841,11,27.018,0,0.0454,0.0494,0.00128,0.299,0.818,124.003,150968,House
50,0.595,0.929,4,24.903,1,0.0447,0.00618,0.889,0.0888,0.844,137.991,175107,Trance
51,0.63,0.892,7,28.878,1,0.041,0.0105,0.0069,0.144,0.557,130.012,235025,Trance
52,0.631,0.912,9,26.409,0,0.0362,0.0346,0.539,0.0729,0.329,138.043,216360,Trance
53,0.446,0.934,6,29.298,1,0.0405,0.0224,0.0715,0.132,0.0733,136.104,220588,Trance
54,0.529,0.871,8,28.397,0,0.0397,0.0357,0.827,0.161,0.236,132.002,189380,Trance
55,0.617,0.79,3,27.017,0,0.0365,0.00212,0.0455,0.159,0.267,138.001,190427,Trance
56,0.542,0.719,1,25.256,1,0.0303,0.0529,0.84,0.0859,0.0735,130.944,202867,Trance
57,0.452,0.925,2,26.519,1,0.0398,0.000241,0.85,0.12,0.436,136.997,210960,Trance
58,0.668,0.982,9,26.021,0,0.0331,0.0437,0.849,0.887,0.591,138.223,233243,Trance
59,0.561,0.957,0,27.375,1,0.0428,0.000134,0.736,0.0913,0.334,138.019,217147,Trance
60,0.614,0.817,7,26.473,1,0.0631,0.058,0.0354,0.446,0.644,135.01,212000,Trance
61,0.587,0.896,6,25.866,0,0.0397,0.0128,0.92,0.252,0.245,132.006,153150,Trance
62,0.524,0.876,1,26.893,0,0.0965,0.00561,0.0246,0.106,0.0366,137.891,241739,Trance
63,0.466,0.93,4,31.445,0,0.0627,0.0707,0.0009,0.33,0.134,129.99,275646,Trance
64,0.559,0.912,7,28.071,0,0.0529,0.00813,0.0895,0.422,0.415,128.021,196992,Trance
65,0.541,0.846,8,23.021,1,0.0462,0.00306,0.901,0.516,0.0395,131.945,109105,Trance
66,0.59,0.708,4,25.542,0,0.0301,0.00287,0.000792,0.428,0.235,129.942,189945,Trance
67,0.439,0.957,9,27.845,1,0.0388,0.000635,0.978,0.15,0.496,135.976,171176,Trance
68,0.562,0.968,7,30.001,0,0.0308,0.00292,0.908,0.0876,0.463,139.999,241520,Trance
69,0.594,0.962,5,24.814,0,0.0678,0.0657,0.936,0.0418,0.298,133.021,229600,Trance
70,0.631,0.784,4,24.721,0,0.0405,0.0183,0.479,0.603,0.572,137.029,584586,Trance
71,0.503,0.96,5,26.179,0,0.0479,0.00136,0.898,0.101,0.102,128.032,169572,Trance
72,0.483,0.808,0,23.338,1,0.0407,0.00272,0.102,0.348,0.0388,136.029,299827,Trance
73,0.49,0.916,10,25.337,0,0.0461,0.0202,0.939,0.119,0.367,139.976,205053,Trance
74,0.27,0.703,2,21.37,0,0.0408,0.0684,0.93,0.16,0.205,125.002,236688,Trance
75,0.562,0.983,4,28.815,1,0.0632,0.00677,0.153,0.199,0.12,138.012,250435,Trance
76,0.518,0.888,7,26.461,1,0.0486,0.0013,0.908,0.203,0.289,131.984,170360,Trance
77,0.514,0.899,9,24.988,1,0.0339,0.000149,0.574,0.488,0.351,129.986,59080,Trance
78,0.652,0.936,1,25.423,1,0.0293,0.0137,0.00887,0.0566,0.561,137.982,197160,Trance
79,0.429,0.965,3,26.257,1,0.0394,0.00123,0.107,0.119,0.166,137.926,210933,Trance
80,0.432,0.968,1,25.445,0,0.073,0.000503,0.877,0.381,0.242,137.974,201616,Trance
81,0.596,0.863,6,27.823,0,0.0362,0.0405,0.531,0.37,0.421,137.716,203440,Trance
82,0.533,0.934,4,29.685,1,0.0522,0.000433,0.422,0.439,0.173,127.973,155132,Trance
83,0.444,0.974,2,28.974,0,0.0577,0.00155,0.795,0.355,0.0355,129.996,232615,Trance
84,0.542,0.928,5,26.141,0,0.095,0.00458,0.0312,0.494,0.733,129.984,73840,Trance
85,0.452,0.946,10,29.98,0,0.0349,0.000221,0.925,0.356,0.461,140.011,161170,Trance
86,0.472,0.988,1,28.804,0,0.0631,0.000168,0.625,0.266,0.34,125.003,223359,Trance
87,0.557,0.942,9,27.942,0,0.0452,0.075,0.282,0.0445,0.309,136.023,231307,Trance
88,0.535,0.961,10,29.552,0,0.0799,0.0219,0.208,0.066,0.0585,137.967,263913,Trance
89,0.547,0.544,5,23.837,0,0.0318,0.0196,0.0225,0.0862,0.523,134.988,361133,Trance
90,0.466,0.975,7,29.269,0,0.0739,0.00909,0.91,0.0959,0.0627,137.984,206957,Trance
91,0.63,0.673,9,26.334,1,0.0503,0.0199,4.33e-05,0.0713,0.299,135.976,572354,Trance
92,0.726,0.777,4,24.672,0,0.0494,0.0061,0.897,0.133,0.0657,137.047,313120,Trance
93,0.257,0.863,5,26.788,0,0.0316,0.146,0.806,0.255,0.695,134.029,134453,Trance
94,0.511,0.793,2,22.130000000000003,0,0.0285,0.000563,0.826,0.123,0.233,136.067,179800,Trance
95,0.539,0.982,11,28.563,0,0.0618,0.00254,0.157,0.225,0.24,136.024,205618,Trance
96,0.708,0.898,3,23.023,0,0.0477,0.0408,0.818,0.169,0.55,137.005,199719,Trance
97,0.487,0.937,10,28.961,0,0.0645,0.0313,1.3e-05,0.101,0.0744,129.956,186923,Trance
98,0.609,0.924,5,30.446,1,0.0402,0.00702,0.769,0.292,0.101,132.026,80003,Trance
99,0.648,0.739,11,28.929,0,0.0433,0.0143,0.821,0.417,0.0605,135.065,189552,Trance
100,0.866,0.828,8,25.296,1,0.203,0.203,0.527,0.123,0.543,133.004,183333,Techno
101,0.601,0.98,7,28.934,1,0.132,0.00555,0.86,0.475,0.155,154.966,309294,Techno
102,0.674,0.961,0,23.812,0,0.0624,0.0623,0.895,0.0844,0.124,150.045,262400,Techno
103,0.557,0.993,0,29.112,1,0.0468,3.02e-05,0.855,0.166,0.941,160.034,250145,Techno
104,0.585,0.879,6,25.072,0,0.0482,0.000677,0.824,0.0613,0.0454,127.021,190866,Techno
105,0.606,0.884,8,28.103,1,0.0412,0.00541,0.848,0.102,0.243,125.045,186285,Techno
106,0.592,0.96,1,27.031,1,0.12,0.0249,0.858,0.445,0.0385,135.002,248889,Techno
107,0.801,0.713,1,25.732,1,0.0675,0.00164,0.928,0.33,0.0491,134.986,433971,Techno
108,0.742,0.609,11,23.494,0,0.0908,0.241,0.581,0.103,0.043,128.004,440842,Techno
109,0.748,0.908,5,25.681,0,0.0504,0.0588,0.894,0.0943,0.0576,130.004,489480,Techno
110,0.594,0.978,2,26.402,1,0.0634,0.0028,0.639,0.112,0.154,145.014,381119,Techno
111,0.801,0.511,1,20.189,1,0.235,0.581,0.585,0.242,0.0839,149.973,147204,Techno
112,0.687,0.953,0,28.745,1,0.0488,0.0056,0.825,0.096,0.399,144.999,373490,Techno
113,0.639,0.997,2,29.41,1,0.107,0.000356,0.828,0.146,0.132,152.976,324718,Techno
114,0.725,0.908,7,25.202,1,0.0345,0.0373,0.824,0.108,0.134,128.006,337500,Techno
115,0.776,0.958,11,29.859,0,0.0625,0.00271,0.915,0.0645,0.143,131.008,378185,Techno
116,0.596,0.837,7,28.017,0,0.0488,0.0775,0.806,0.297,0.0954,125.93,274552,Techno
117,0.788,0.585,9,23.758,1,0.0573,0.776,0.817,0.123,0.321,74.98,89646,Techno
118,0.742,0.855,1,25.656,0,0.0611,0.0317,0.81,0.119,0.0455,138.008,420684,Techno
119,0.829,0.722,11,22.234,0,0.256,0.0243,0.741,0.126,0.429,140.02,280079,Techno
120,0.707,0.815,7,27.8,1,0.147,0.00499,0.828,0.0874,0.148,133.024,206626,Techno
121,0.755,0.777,6,27.276,1,0.053,0.00734,0.177,0.0978,0.0931,128.015,380625,Techno
122,0.598,0.937,0,28.316,1,0.0373,0.00842,0.824,0.163,0.154,139.993,115335,Techno
123,0.684,0.853,11,26.324,1,0.0559,0.00108,0.892,0.0611,0.192,129.999,207000,Techno
124,0.611,0.906,9,25.806,1,0.0638,0.0175,0.603,0.39,0.476,149.989,191200,Techno
125,0.714,0.782,7,26.684,0,0.0402,0.0756,0.64,0.256,0.0663,121.969,213496,Techno
126,0.539,0.741,2,27.029,1,0.0629,1.73e-05,0.777,0.265,0.408,149.997,298567,Techno
127,0.763,0.791,11,27.411,0,0.0495,0.000268,0.792,0.0752,0.0603,131.978,413230,Techno
128,0.68,0.914,2,28.631,1,0.141,0.0385,0.806,0.386,0.136,133.029,220376,Techno
129,0.765,0.94,6,24.216,0,0.0605,0.0597,0.932,0.106,0.0528,135.009,384387,Techno
130,0.637,0.68,10,24.234,0,0.0884,0.817,0.849,0.301,0.614,150.027,64418,Techno
131,0.753,0.932,1,25.028,1,0.081,0.0191,0.769,0.178,0.532,133.017,193083,Techno
132,0.463,0.995,5,26.838,1,0.081,1.79e-05,0.938,0.0707,0.0576,143.994,321667,Techno
133,0.609,0.912,11,27.407,0,0.0391,0.0196,0.478,0.133,0.0391,135.027,204444,Techno
134,0.646,0.855,11,26.387,0,0.0449,0.00139,0.759,0.073,0.303,138.008,399022,Techno
135,0.8,0.846,5,26.482,1,0.0624,0.0277,0.877,0.0896,0.211,127.008,272395,Techno
136,0.618,0.924,10,29.776,0,0.0334,0.014,0.867,0.261,0.115,130.012,142154,Techno
137,0.627,0.991,5,25.476,0,0.0416,0.000549,0.845,0.0789,0.261,144.001,258573,Techno
138,0.634,0.907,1,22.617,0,0.125,0.0355,0.972,0.129,0.0502,140.013,174811,Techno
139,0.585,0.948,1,26.994,0,0.0821,0.02,0.361,0.0704,0.407,149.955,378633,Techno
140,0.697,0.885,7,28.998,1,0.0554,0.00404,0.832,0.278,0.417,135.018,222222,Techno
141,0.89,0.727,11,25.294,1,0.3,0.0637,0.815,0.196,0.31,150.034,82004,Techno
142,0.521,0.96,10,26.41,0,0.0356,0.000435,0.846,0.559,0.173,132.009,240404,Techno
143,0.753,0.978,7,28.534,1,0.0888,0.00703,0.701,0.308,0.311,132.005,254769,Techno
144,0.691,0.873,7,23.877,1,0.0484,0.173,0.872,0.118,0.183,135.017,192000,Techno
145,0.786,0.908,7,23.598,1,0.057,0.00609,0.867,0.11,0.0543,134.995,371556,Techno
146,0.752,0.486,10,21.47,0,0.0493,0.0479,0.877,0.0926,0.0379,121.0,421307,Techno
147,0.655,0.997,10,28.844,0,0.103,0.000901,0.869,0.108,0.0648,136.013,377868,Techno
148,0.787,0.952,7,29.189,1,0.0476,0.000794,0.748,0.13,0.0384,132.003,429205,Techno
149,0.77,0.966,6,27.297,1,0.0422,0.000438,0.932,0.098,0.349,126.01,505577,Techno
150,0.704,0.944,10,32.053,0,0.147,0.0018,0.0,0.072,0.191,174.183,268966,DnB
151,0.771,0.811,4,28.149,0,0.199,0.00498,0.00168,0.589,0.245,173.982,246293,DnB
152,0.656,0.875,8,32.555,0,0.241,0.0109,0.0236,0.131,0.159,174.825,290057,DnB
153,0.724,0.877,11,30.328,1,0.0893,0.000722,0.91,0.0511,0.596,87.0,267601,DnB
154,0.489,0.945,1,31.253,0,0.0561,0.0208,0.00457,0.258,0.358,172.089,231628,DnB
155,0.767,0.942,9,36.185,0,0.0966,0.00323,0.844,0.0602,0.632,174.965,271543,DnB
156,0.802,0.953,0,28.811,1,0.139,0.00771,0.0122,0.294,0.358,86.964,196121,DnB
157,0.753,0.934,10,32.272,0,0.306,0.369,0.0,0.932,0.716,87.57,344999,DnB
158,0.764,0.893,8,32.872,0,0.243,4.07e-05,0.641,0.319,0.469,87.514,263668,DnB
159,0.61,0.913,1,33.581,1,0.0762,0.0843,0.0,0.344,0.302,175.094,309943,DnB
160,0.393,0.981,11,31.0,1,0.171,5.68e-05,0.867,0.102,0.0691,174.939,252400,DnB
