,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Genre
221,0.57,0.96,6,32.014,0,0.0656,0.00139,0.829,0.137,0.148,150.063,227200,Dubstep
222,0.614,0.726,11,27.559,1,0.096,0.00869,0.00131,0.157,0.315,144.965,320000,Dubstep
223,0.595,0.961,7,30.219,1,0.31,0.0282,0.0,0.271,0.61,174.071,258827,Dubstep
224,0.617,0.957,8,30.85,1,0.173,0.0165,0.00128,0.208,0.109,125.039,168960,Dubstep
225,0.534,0.927,6,30.146,0,0.119,0.00347,0.000123,0.114,0.231,138.036,347826,Dubstep
226,0.619,0.84,9,34.115,1,0.063,0.104,0.000996,0.332,0.425,69.598,96000,Dubstep
227,0.599,0.912,6,31.627,0,0.0429,3.34e-05,0.0188,0.247,0.0385,112.517,166400,Dubstep
228,0.534,0.998,11,32.846000000000004,1,0.34,0.000416,0.0716,0.1,0.186,150.034,245955,Dubstep
229,0.312,0.892,4,31.471,1,0.0666,0.000209,0.809,0.101,0.033,112.639,282835,Dubstep
230,0.592,0.937,11,28.547,0,0.158,0.00418,7.58e-06,0.406,0.339,150.096,298400,Dubstep
231,0.33,0.853,1,29.313,1,0.19,0.000267,0.00278,0.272,0.201,120.135,251613,Dubstep
232,0.635,0.947,10,32.081,0,0.123,0.0233,0.0541,0.126,0.593,155.01,266323,Dubstep
233,0.355,0.956,9,33.294,0,0.0799,0.000581,0.172,0.413,0.0874,110.037,179582,Dubstep
234,0.366,0.572,2,29.252,1,0.0377,0.343,0.00895,0.186,0.356,119.938,389024,Dubstep
235,0.622,0.931,10,34.503,1,0.0671,0.00258,0.000901,0.32,0.24,75.031,157050,Dubstep
236,0.433,0.758,2,28.264,1,0.662,0.0409,2.64e-05,0.102,0.22,87.402,219429,Dubstep
237,0.64,0.903,5,30.958,0,0.185,0.00105,0.0503,0.171,0.152,128.079,301122,Dubstep
238,0.616,0.985,6,32.21,0,0.0618,0.000443,0.375,0.863,0.53,150.024,182800,Dubstep
239,0.486,0.942,1,32.356,1,0.204,0.0016,0.0052,0.256,0.284,75.376,238500,Dubstep
240,0.63,0.984,11,31.813,1,0.0658,0.000666,0.00804,0.163,0.214,145.074,185379,Dubstep
241,0.699,0.945,1,33.058,1,0.306,0.0289,0.0,0.362,0.861,149.95,144000,Dubstep
242,0.499,0.826,9,26.918,0,0.0534,0.00095,0.029,0.122,0.427,140.007,281083,Dubstep
243,0.735,0.92,2,30.964,1,0.051,0.000634,0.186,0.394,0.453,150.0,203600,Dubstep
244,0.734,0.958,1,33.312,0,0.199,0.059,0.215,0.331,0.366,74.966,236800,Dubstep
245,0.713,0.971,0,32.736,1,0.381,0.00228,2.05e-05,0.242,0.676,128.064,284130,Dubstep
246,0.472,0.979,11,32.729,0,0.043,0.0474,0.00032,0.128,0.57,149.991,193600,Dubstep
247,0.343,0.853,2,28.834,1,0.0924,1.29e-05,0.609,0.197,0.171,109.969,303866,Dubstep
248,0.434,0.962,3,31.11,0,0.126,0.0003,0.734,0.105,0.226,128.162,299375,Dubstep
249,0.55,0.918,10,31.224,0,0.0693,0.000487,0.886,0.642,0.0472,108.078,218483,Dubstep
250,0.599,0.406,4,14.119,0,0.0368,0.822,0.933,0.112,0.326,134.762,547133,IDM
251,0.667,0.729,1,23.951,0,0.0419,0.00101,0.543,0.34,0.209,147.324,260467,IDM
252,0.52,0.858,9,25.282,1,0.0729,0.108,0.834,0.117,0.215,93.834,315133,IDM
253,0.201,0.206,7,18.201,1,0.0317,0.938,1.01e-06,0.66,0.16,159.898,69453,IDM
254,0.521,0.29,8,17.141,1,0.03,0.54,0.559,0.111,0.28,100.05,220920,IDM
255,0.576,0.533,5,21.009,1,0.0381,0.69,0.856,0.148,0.0481,104.975,154781,IDM
256,0.808,0.385,9,22.673,1,0.0425,0.812,0.684,0.157,0.779,116.3,66053,IDM
257,0.328,0.62,5,24.213,1,0.0322,4.23e-06,0.209,0.754,0.257,80.062,71867,IDM
258,0.284,0.00898,9,1.796999999999997,1,0.041,0.989,0.875,0.0786,0.254,75.847,130440,IDM
259,0.59,0.238,7,13.646999999999998,1,0.0331,0.832,0.896,0.114,0.359,102.006,184453,IDM
260,0.454,0.215,6,14.478000000000002,0,0.0298,0.938,0.936,0.0958,0.114,118.013,170000,IDM
261,0.71,0.734,0,19.068,0,0.052,0.513,0.836,0.0701,0.4,147.98,177093,IDM
262,0.155,0.0204,4,2.7880000000000003,0,0.0462,0.995,0.936,0.139,0.278,79.755,75627,IDM
263,0.546,0.734,7,25.192,1,0.0343,0.127,0.932,0.0501,0.447,145.867,382373,IDM
264,0.803,0.885,6,26.971,1,0.0518,0.00653,0.555,0.203,0.844,110.393,257880,IDM
